;"realFlightId";"filename";"departureCode";"arrivalCode";"flightTime";"timeSavedWrtETA";"timeSavedHhMmSs"
"46";"304687939";"EV5946201382.xml";"BHM";"ORD";127;111;"00:01:43:15"
"21";"24869930";"24869930.xml";"VIE";"AYT";135;118.9166666667;"00:01:12:46"
"17";"24787250";"24787250.xml";"EDI";"LHR";80;63.8333333333;"00:01:13:00"
"35";"24981143";"24981143.xml";"MUC";"GDN";65;48.8333333333;"00:00:36:11"
"31";"24953876";"24953876.xml";"TRD";"KRS";85;68.6333333333;"00:00:36:27"
"34";"24960571";"24960571.xml";"HER";"DME";235;218.5666666667;"00:02:43:22"
"48";"304701689";"EV6027201382.xml";"CVG";"ORD";38;21.45;"00:00:49:18"
"14";"24780055";"24780055.xml";"AMS";"FAO";225;208.3166666667;"00:02:45:15"
"23";"24877765";"24877765.xml";"AYT";"KUO";360;343.1666666667;"00:04:01:53"
"20";"24855206";"24855206.xml";"SZG";"GOT";135;118.1666666667;"00:00:56:17"
"3";"24613132";"24613132.xml";"NCL";"NBE";255;237.5166666667;"00:00:40:12"
"50";"305663820";"OO63292013811.xml";"SFO";"ACV";81;60.7833333333;"00:00:37:03"
"19";"24791773";"24791773.xml";"BRU";"LHR";60;35.5833333333;"00:00:32:20"
"25";"24893847";"24893847.xml";"EMA";"PMI";150;121.6666666667;"00:00:12:11"
"39";"304701700";"9E3734201382.xml";"CVG";"ORD";126;97.3666666667;"00:01:14:31"
"32";"24958582";"24958582.xml";"BRU";"VCE";100;71.3333333333;"00:00:37:08"
"28";"24931662";"24931662.xml";"AMS";"STR";60;27.1333333333;"00:00:16:05"
"41";"304549835";"DL615201381.xml";"SEA";"CDG";391;354.5;"00:03:21:54"
"5";"24643747";"24643747.xml";"AMS";"GRO";228;188;"00:01:48:45"
"43";"304698718";"EV4368201382.xml";"CLT";"ORD";68;23.2833333333;"00:00:53:35"
"30";"24939815";"24939815.xml";"ORY";"FCO";105;52.7166666667;"00:00:08:05"
"10";"24729298";"24729298.xml";"CDG";"MRS";60;7.0333333333;"00:00:12:10"
"29";"24936159";"24936159.xml";"MUC";"LHR";120;62.9833333333;"00:00:28:22"
"53";"305337045";"VS7201388.xml";"LHR";"LAX";920;859.45;"00:09:15:38"
"9";"24711371";"24711371.xml";"HEL";"CGN";200;134.9833333333;"00:00:04:00"
"18";"24788175";"24788175.xml";"DUB";"LHR";90;24.8333333333;"00:00:12:10"
"52";"304702785";"UA605201382.xml";"DCA";"ORD";59;-7.75;"00:03:30:47"
"36";"25002881";"25002881.xml";"SKG";"VIE";115;46.1166666667;"00:00:04:00"
"33";"24959354";"24959354.xml";"CDG";"NCL";75;5.3166666667;"00:00:16:38"
"44";"304735787";"EV4703201382.xml";"MCI";"ORD";88;18.25;"00:00:12:24"
"1";"24559131";"24559131.xml";"CGN";"DXB";465;394.85;"00:00:08:00"
"51";"304736595";"UA1155201382.xml";"MDT";"ORD";59;-17.35;"00:00:16:27"
"47";"304768320";"EV5987201382.xml";"TYS";"ORD";41;-37.3333333333;"00:00:08:16"
"40";"304754968";"AX3414201382.xml";"ROA";"ORD";50;-32.85;"00:00:33:04"
"42";"304746979";"EV3811201382.xml";"ORF";"ORD";73;-10.5666666667;"00:00:54:22"
"11";"24738444";"24738444.xml";"AYT";"BLL";390;304.3166666667;"00:00:12:10"
"16";"24786232";"24786232.xml";"CPH";"LHR";120;31.65;"00:00:32:10"
"15";"24785369";"24785369.xml";"CPH";"LHR";105;15.9;"00:00:20:10"
"54";"304720050";"VX69201382.xml";"IAD";"SFO";165;56.8666666667;"00:00:04:00"
"55";"304977342";"XOJ549201382.xml";"TEB";"MDW";102;-11.8;"00:02:46:22"
"45";"304693359";"EV5700201382.xml";"CAE";"ORD";71;-48.45;"00:00:24:48"
"7";"24686477";"24686477.xml";"TXL";"ULN";540;418.15;"00:00:04:00"
"37";"25011286";"25011286.xml";"AMS";"FUE";285;138.7833333333;"00:00:08:05"
"13";"24767743";"24767743.xml";"MAN";"SFB";575;427.5166666667;"00:02:45:16"
"8";"24690376";"24690376.xml";"BRU";"CMN";120;-27.5333333333;"00:00:20:06"
"6";"24652909";"24652909.xml";"IST";"HAM";310;151.4166666667;"00:00:08:00"
"49";"304670104";"LH471201382.xml";"YYZ";"FRA";825;652.15;"00:00:16:00"
"12";"24740978";"24740978.xml";"AMS";"SSH";330;152.2666666667;"00:00:08:03"
"2";"24610218";"24610218.xml";"BRU";"KGS";240;60.3333333333;"00:00:00:00"
"22";"24871421";"24871421.xml";"AYT";"SFT";270;84.0666666667;"00:00:56:37"
"4";"24643263";"24643263.xml";"AYT";"ARN";245;59.0166666667;"00:00:48:51"
"24";"24887894";"24887894.xml";"LGW";"RHO";240;43.1;"00:00:00:00"
"26";"24903719";"24903719.xml";"HER";"BSL";165;-48.2666666667;"00:00:00:00"
"27";"24923099";"24923099.xml";"IST";"MJI";210;-74.2833333333;"00:01:52:41"
"38";"305888696";"1I9432013811.xml";"DRO";"SUN";"NA";"NA";"00:02:30:50"
